Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,io.seata.common.util.ReflectionUtil,0,0,0,0,8,0,8,95,1,0,19,NO
Public Class,io.seata.common.util.ReflectionUtilTest,2,0,8,0,8,0,8,72,1,0,13,NO
Public Class,io.seata.common.util.StringFormatUtils,0,0,0,0,5,1,4,49,1,0,12,NO
Public Class,io.seata.common.util.StringUtils,2,0,1,0,13,1,12,139,1,0,40,NO
Public Class,io.seata.common.util.StringUtilsTest,3,0,6,0,6,0,2,71,1,0,7,NO
Public Class,io.seata.common.XID,0,0,0,0,6,0,6,26,1,50,7,NO
Public Class,io.seata.common.XIDTest,1,0,4,0,4,0,4,24,1,0,4,NO
Public Class,io.seata.compressor.bzip2.BZip2Compressor,1,0,2,0,2,0,2,10,1,0,2,NO
Public Class,io.seata.compressor.bzip2.BZip2CompressorTest,1,0,1,0,1,0,1,10,1,0,1,NO
Public Class,io.seata.compressor.bzip2.BZip2Util,0,0,0,0,2,0,2,33,1,0,7,NO
Public Class,io.seata.compressor.bzip2.BZip2UtilTest,1,0,2,0,2,0,2,14,1,0,4,NO
Public Class,io.seata.compressor.gzip.GzipCompressor,1,0,2,0,2,0,2,10,1,0,2,NO
Public Class,io.seata.compressor.gzip.GzipCompressorTest,1,0,1,0,1,0,1,10,1,0,1,NO
Public Class,io.seata.compressor.gzip.GzipUtil,0,0,1,0,3,1,2,35,1,0,8,NO
Public Class,io.seata.compressor.gzip.GzipUtilTest,1,0,3,0,3,0,3,30,1,0,7,NO
Public Class,io.seata.compressor.lz4.Lz4Compressor,1,0,2,0,2,0,2,10,1,0,2,NO
Public Class,io.seata.compressor.lz4.Lz4CompressorTest,1,0,1,0,1,0,1,10,1,0,1,NO
Public Class,io.seata.compressor.lz4.Lz4Util,0,0,0,0,2,0,2,37,1,0,7,NO
Public Class,io.seata.compressor.sevenz.SevenZCompressor,1,0,2,0,2,0,2,10,1,0,2,NO
Public Class,io.seata.compressor.sevenz.SevenZCompressorTest,1,0,1,0,1,0,1,10,1,0,1,NO
Public Class,io.seata.compressor.sevenz.SevenZUtil,0,0,0,0,2,0,2,40,1,0,8,NO
