Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,net.sf.mpxj.primavera.schema.ActivityStepTemplateType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityStepType,1,0,41,21,41,0,41,192,1,95,42,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityStepUpdateType,1,0,30,15,30,0,30,138,1,93,30,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityType,2,0,424,213,424,0,424,1920,1,99,426,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityUpdateType,1,0,58,29,58,0,58,264,1,96,58,YES
Public Class,net.sf.mpxj.primavera.schema.Adapter1,1,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.primavera.schema.Adapter2,1,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.primavera.schema.APIBusinessObjects,1,0,126,124,126,0,126,1119,1,99,248,YES
Public Class,net.sf.mpxj.primavera.schema.BaselineProjectType,2,0,501,267,501,0,501,2406,1,99,534,YES
Public Class,net.sf.mpxj.primavera.schema.BaselineTypeType,1,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.CalendarType,3,0,40,20,40,0,40,263,1,95,40,YES
Public Class,net.sf.mpxj.primavera.schema.CBSDurationSummaryType,1,0,30,15,30,0,30,138,1,93,30,YES
Public Class,net.sf.mpxj.primavera.schema.CBSType,1,0,20,10,20,0,20,93,1,90,20,YES
Public Class,net.sf.mpxj.primavera.schema.ChangeSetType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.CostAccountType,1,0,20,10,20,0,20,93,1,90,20,YES
Public Class,net.sf.mpxj.primavera.schema.CurrencyType,1,0,30,15,30,0,30,138,1,93,30,YES
Public Class,net.sf.mpxj.primavera.schema.DocumentCategoryType,1,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.DocumentStatusCodeType,1,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.DocumentType,1,0,61,31,61,0,61,282,1,96,62,YES
Public Class,net.sf.mpxj.primavera.schema.EPSBudgetChangeLogType,1,0,28,14,28,0,28,129,1,92,28,YES
Public Class,net.sf.mpxj.primavera.schema.EPSFundingType,1,0,22,11,22,0,22,102,1,90,22,YES
Public Class,net.sf.mpxj.primavera.schema.EPSNoteType,1,0,24,12,24,0,24,111,1,91,24,YES
Public Class,net.sf.mpxj.primavera.schema.EPSProjectWBSSpreadType,1,0,7,4,7,0,7,1484,1,75,8,YES
Public Class,net.sf.mpxj.primavera.schema.EPSSpendingPlanType,1,0,22,11,22,0,22,102,1,90,22,YES
Public Class,net.sf.mpxj.primavera.schema.EPSType,2,0,311,156,311,0,311,1407,1,99,312,YES
Public Class,net.sf.mpxj.primavera.schema.ExpenseCategoryType,1,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.FinancialPeriodType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.FundingSourceType,1,0,18,9,18,0,18,84,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.GlobalPreferencesType,1,0,190,95,190,0,190,858,1,98,190,YES
Public Class,net.sf.mpxj.primavera.schema.GlobalProfileType,2,0,18,9,18,0,18,84,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.IssueHistoryType,1,0,18,9,18,0,18,84,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.JobServiceType,1,0,28,14,28,0,28,129,1,92,28,YES
Public Class,net.sf.mpxj.primavera.schema.LocationType,1,0,34,17,34,0,34,156,1,94,34,YES
Public Class,net.sf.mpxj.primavera.schema.MSPTemplateType,0,0,8,4,8,0,8,39,1,75,8,YES
Public Class,net.sf.mpxj.primavera.schema.NotebookTopicType,1,0,22,11,22,0,22,102,1,90,22,YES
Public Class,net.sf.mpxj.primavera.schema.ObjectFactory,150,0,151,0,151,0,151,606,1,0,151,YES
Public Class,net.sf.mpxj.primavera.schema.OBSType,1,0,20,10,20,0,20,93,1,90,20,YES
Public Class,net.sf.mpxj.primavera.schema.OverheadCodeType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectBudgetChangeLogType,1,0,36,18,36,0,36,165,1,94,36,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectCodeAssignmentType,1,0,28,14,28,0,28,129,1,92,28,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectCodeType,1,0,24,12,24,0,24,111,1,91,24,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectCodeTypeType,1,0,22,11,22,0,22,102,1,90,22,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectDocumentType,1,0,36,18,36,0,36,165,1,94,36,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectFundingType,1,0,24,12,24,0,24,111,1,91,24,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectIssueType,1,0,69,35,69,0,69,318,1,97,70,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectNoteType,1,0,40,20,40,0,40,183,1,95,40,YES
Public Class,net.sf.mpxj.primavera.schema.ProjectPortfolioType,1,0,25,13,25,0,25,120,1,92,26,YES
