Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,com.aelitis.azureus.core.devices.TranscodeException,0,0,4,1,4,0,4,29,2,50,4,NO
Public Class,com.aelitis.azureus.core.dht.control.DHTControlFactory,7,0,0,0,2,0,2,65,1,0,2,NO
Public Class,com.aelitis.azureus.core.dht.control.impl.DHTControlContactImpl,2,0,9,2,9,0,8,56,1,44,9,NO
Public Class,com.aelitis.azureus.core.dht.control.impl.DHTControlImpl,52,0,74,47,77,3,53,3824,1,94,276,NO
Public Class,com.aelitis.azureus.core.dht.control.impl.DHTControlStatsImpl,10,0,32,8,32,0,29,239,1,85,33,NO
Public Class,com.aelitis.azureus.core.dht.db.DHTDBFactory,4,0,0,0,1,0,1,18,1,0,1,NO
Public Class,com.aelitis.azureus.core.dht.db.impl.DHTDBImpl,37,0,49,32,49,1,28,2418,1,91,303,NO
Public Class,com.aelitis.azureus.core.dht.db.impl.DHTDBMapping,15,0,37,12,37,5,0,758,1,84,134,NO
Public Class,com.aelitis.azureus.core.dht.db.impl.DHTDBValueImpl,4,0,22,10,22,0,15,173,1,80,26,NO
Public Class,com.aelitis.azureus.core.dht.DHTFactory,8,0,0,0,2,0,2,24,1,0,2,NO
Public Class,com.aelitis.azureus.core.dht.DHTOperationAdapter,2,3,8,1,8,0,8,70,1,0,14,NO
Public Class,com.aelitis.azureus.core.dht.impl.DHTImpl,21,0,33,10,33,0,32,477,1,84,53,NO
Public Class,com.aelitis.azureus.core.dht.impl.DHTLog,6,0,0,0,17,0,16,253,1,52,48,NO
Public Class,com.aelitis.azureus.core.dht.nat.DHTNATPuncherFactory,4,0,0,0,1,0,1,10,1,0,1,NO
Public Class,com.aelitis.azureus.core.dht.nat.impl.DHTNATPuncherImpl,27,0,51,39,52,3,17,1801,1,94,232,NO
Public Class,com.aelitis.azureus.core.dht.netcoords.DHTNetworkPositionManager,8,0,0,0,20,3,17,390,1,71,79,NO
Public Class,com.aelitis.azureus.core.dht.netcoords.vivaldi.ver1.impl.HeightCoordinatesImpl,0,0,17,3,17,1,16,81,1,33,20,NO
Public Class,com.aelitis.azureus.core.dht.netcoords.vivaldi.ver1.impl.tests.VivaldiTest,4,0,1,0,2,0,2,39,1,0,10,NO
Public Class,com.aelitis.azureus.core.dht.netcoords.vivaldi.ver1.impl.tests.VivaldiVisualTest,1,0,2,0,3,0,3,73,1,0,5,NO
Public Class,com.aelitis.azureus.core.dht.netcoords.vivaldi.ver1.impl.VivaldiPositionImpl,2,0,19,3,19,1,18,133,1,68,31,NO
Public Class,com.aelitis.azureus.core.dht.netcoords.vivaldi.ver1.VivaldiPositionFactory,3,0,0,0,2,0,2,16,1,0,2,NO
Public Class,com.aelitis.azureus.core.dht.netcoords.vivaldi.ver1.VivaldiPositionProvider,3,0,7,0,7,0,7,50,1,0,8,NO
Public Class,com.aelitis.azureus.core.dht.router.DHTRouterContactWrapper,1,0,11,1,11,0,10,61,1,0,11,NO
Public Class,com.aelitis.azureus.core.dht.router.DHTRouterFactory,6,0,0,0,3,0,3,35,1,0,5,NO
Public Class,com.aelitis.azureus.core.dht.router.DHTRouterWrapper,5,0,27,1,27,0,26,157,1,0,27,NO
Public Class,com.aelitis.azureus.core.dht.router.impl.DHTRouterContactImpl,3,0,26,9,26,0,12,173,1,81,35,NO
Public Class,com.aelitis.azureus.core.dht.router.impl.DHTRouterImpl,19,0,58,23,58,2,28,938,1,92,160,NO
Public Class,com.aelitis.azureus.core.dht.router.impl.DHTRouterNodeImpl,6,0,18,8,18,0,1,317,1,74,68,NO
Public Class,com.aelitis.azureus.core.dht.router.impl.DHTRouterStatsImpl,1,0,2,1,2,0,1,16,1,0,2,NO
Public Class,com.aelitis.azureus.core.dht.speed.DHTSpeedTesterFactory,4,0,0,0,1,0,1,12,1,0,2,NO
Public Class,com.aelitis.azureus.core.dht.speed.impl.DHTSpeedTesterImpl,17,0,9,8,9,0,6,559,1,76,36,NO
Public Class,com.aelitis.azureus.core.dht.transport.DHTTransportException,0,0,2,0,2,0,2,17,2,0,2,NO
Public Class,com.aelitis.azureus.core.dht.transport.DHTTransportFactory,6,0,0,0,2,0,2,43,1,0,2,NO
Public Abstract Class,com.aelitis.azureus.core.dht.transport.DHTTransportReplyHandlerAdapter,7,22,11,1,11,0,11,88,1,81,13,NO
Public Class,com.aelitis.azureus.core.dht.transport.loopback.DHTTransportLoopbackContactImpl,7,0,38,3,38,0,37,228,1,84,38,NO
Public Class,com.aelitis.azureus.core.dht.transport.loopback.DHTTransportLoopbackImpl,23,0,48,7,51,0,47,575,1,94,65,NO
Public Class,com.aelitis.azureus.core.dht.transport.loopback.DHTTransportLoopbackStatsImpl,0,0,8,0,62,0,7,47,2,0,8,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTTransportAlternativeContactImpl,2,0,7,6,7,0,6,66,1,69,11,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTTransportAlternativeNetworkImpl,1,0,9,3,9,2,2,150,1,37,29,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTTransportUDPContactImpl,15,0,46,11,46,0,38,393,1,89,56,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTTransportUDPImpl,76,0,82,46,82,4,50,2256,1,95,268,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTTransportUDPStatsImpl,2,0,10,2,64,0,8,71,2,40,10,NO
Public Class,com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketData,8,0,12,7,52,0,11,134,4,59,15,NO
