Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
Public Class,com.logicaldoc.core.parser.OpenOfficeParserTest,4,0,3,2,9,0,3,38,2,33,4,YES
Public Class,com.logicaldoc.core.parser.ParserFactory,22,0,0,0,7,1,6,133,1,57,27,YES
Public Class,com.logicaldoc.core.parser.ParseTask,0,0,0,0,0,0,0,2,1,0,0,NO
Public Class,com.logicaldoc.core.parser.PDFParser,0,0,3,0,6,1,1,90,2,33,18,NO
Public Class,com.logicaldoc.core.parser.PDFParserTest,4,0,8,2,14,0,8,123,2,75,13,NO
Public Class,com.logicaldoc.core.parser.PPTParser,1,0,1,0,4,0,1,22,2,0,5,NO
Public Class,com.logicaldoc.core.parser.PSParser,1,0,3,0,6,2,1,107,2,66,26,NO
Public Class,com.logicaldoc.core.parser.RTFParser,1,1,2,0,5,0,1,53,2,50,8,NO
Public Class,com.logicaldoc.core.parser.TXTParser,6,0,3,0,6,1,2,55,2,33,14,NO
Public Class,com.logicaldoc.core.parser.TXTParserTest,4,0,1,0,7,0,1,13,2,0,1,NO
Public Class,com.logicaldoc.core.parser.wordperfect.StringExtractor,0,1,6,0,6,0,1,125,1,0,31,NO
Public Class,com.logicaldoc.core.parser.wordperfect.WordPerfectParser,2,0,1,0,4,0,1,13,2,0,2,NO
Public Class,com.logicaldoc.core.parser.wordperfect.WPFilterInputStream,0,0,5,0,5,1,4,229,2,0,94,NO
Public Class,com.logicaldoc.core.parser.wordperfect.WPStringExtractor,1,0,4,0,10,0,1,57,2,0,14,NO
Public Class,com.logicaldoc.core.parser.XLSParser,1,0,1,0,4,0,1,23,2,0,5,NO
Public Class,com.logicaldoc.core.parser.XMLParser,2,0,1,0,4,0,1,38,2,0,4,NO
Public Class,com.logicaldoc.core.parser.ZABWParser,1,0,2,0,5,0,2,30,2,0,7,NO
Public Class,com.logicaldoc.core.parser.ZipParser,2,0,1,0,4,0,1,19,2,100,3,NO
Public Class,com.logicaldoc.core.PersistenceException,0,0,4,0,4,0,4,14,2,0,4,NO
Public Class,com.logicaldoc.core.PersistenceObjectInterceptor,1,0,4,0,4,0,3,27,2,0,6,NO
Public Abstract Class,com.logicaldoc.core.PersistentObject,0,20,13,5,13,0,13,50,1,84,14,NO
Public Class,com.logicaldoc.core.searchengine.analyzer.FilteredAnalyzer,7,0,4,0,6,2,2,112,2,66,21,YES
Public Class,com.logicaldoc.core.searchengine.analyzer.SnowballFilterFactory,3,0,2,1,2,0,2,19,2,0,4,YES
Public Class,com.logicaldoc.core.searchengine.folder.FolderCriterion,1,0,28,12,28,0,28,198,1,91,52,YES
Public Class,com.logicaldoc.core.searchengine.folder.FolderSearch,17,0,5,0,17,3,2,358,2,0,110,YES
Public Class,com.logicaldoc.core.searchengine.folder.FolderSearch.HitMapper,6,0,1,0,1,0,1,33,1,0,3,NO
Public Class,com.logicaldoc.core.searchengine.folder.FolderSearchOptions,1,0,5,2,41,0,5,20,2,60,5,NO
Public Class,com.logicaldoc.core.searchengine.folder.FolderSearchTest,5,0,1,0,7,0,1,61,2,0,3,NO
Public Class,com.logicaldoc.core.searchengine.FulltextSearch,19,0,2,0,14,0,1,238,2,0,42,YES
Public Class,com.logicaldoc.core.searchengine.FulltextSearchOptions,0,0,22,10,58,0,22,79,1,90,22,NO
Public Class,com.logicaldoc.core.searchengine.FulltextSearchTest,9,0,4,1,10,1,3,101,2,62,4,NO
Public Class,com.logicaldoc.core.searchengine.Hit,0,0,7,3,164,0,7,44,2,66,13,YES
Public Class,com.logicaldoc.core.searchengine.Hits,6,0,8,2,10,1,9,81,5,60,21,NO
Public Class,com.logicaldoc.core.searchengine.IndexerTask,14,0,9,8,49,1,9,253,1,85,32,YES
Public Class,com.logicaldoc.core.searchengine.IndexOptimizer,2,0,8,2,45,1,6,44,2,62,9,NO
Public Class,com.logicaldoc.core.searchengine.LanguageProcessor,2,0,2,0,2,0,2,11,1,0,2,NO
Public Class,com.logicaldoc.core.searchengine.LanguageProcessorFactory,1,0,1,0,1,0,1,6,2,0,1,NO
Public Abstract Class,com.logicaldoc.core.searchengine.Search,17,3,10,6,12,0,10,165,2,80,30,YES
Public Class,com.logicaldoc.core.searchengine.SearchException,0,0,4,0,4,0,4,14,2,0,4,NO
Public Class,com.logicaldoc.core.searchengine.SearchOptions,0,2,35,15,36,0,35,142,1,94,36,NO
Public Class,com.logicaldoc.core.searchengine.StandardSearchEngine,18,0,20,3,22,0,18,373,2,77,79,YES
Public Class,com.logicaldoc.core.searchengine.StandardSearchEngineTest,7,0,7,1,13,0,7,99,1,50,7,NO
Public Class,com.logicaldoc.core.searchengine.TagSearch,12,0,4,0,16,2,1,133,1,0,13,NO
Public Class,com.logicaldoc.core.searchengine.TagSearchTest,3,0,1,0,7,0,1,38,2,0,3,NO
Public Abstract Class,com.logicaldoc.core.security.authentication.AbstractAuthenticator,3,2,4,0,4,0,4,20,2,0,4,NO
Public Class,com.logicaldoc.core.security.authentication.AccountDisabledException,0,0,2,0,4,0,2,9,1,0,2,NO
Public Class,com.logicaldoc.core.security.authentication.AccountNotFoundException,0,0,2,0,4,0,2,10,2,0,2,NO
