CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
39,0,15,18,15,6,5,1937,1,91,59,YES
39,0,36,37,38,21,9,3003,1,92,268,YES
33,0,23,12,23,6,9,1977,1,89,47,YES
7,0,5,5,5,2,2,122,1,64,13,YES
32,0,50,22,50,0,22,1508,1,94,149,YES
13,0,7,7,8,0,8,124,1,82,8,YES
28,0,13,8,13,0,6,407,1,80,41,YES
17,0,13,4,13,0,4,548,1,71,73,YES
18,0,10,9,11,0,6,279,1,77,33,YES
35,0,12,9,13,1,10,345,1,77,48,YES
18,0,22,25,23,2,20,751,1,88,169,YES
43,0,23,56,25,11,12,1780,1,92,236,YES
10,0,7,0,7,1,6,109,1,0,9,YES
9,0,6,0,6,0,6,190,1,0,12,YES
8,0,7,0,7,1,6,149,1,0,9,YES
9,0,7,0,7,1,6,146,1,0,10,YES
9,0,2,0,2,0,2,101,1,0,2,YES
50,0,32,26,33,3,15,2838,1,91,191,YES
42,0,37,25,38,0,18,1047,1,90,116,YES
35,1,117,31,117,6,98,1440,1,94,331,YES
0,0,0,0,0,0,0,14,1,0,0,YES
15,0,26,20,35,2,19,664,2,92,54,YES
43,0,12,1,22,10,5,420,2,80,67,YES
39,0,8,1,16,1,4,1317,2,77,139,YES
6,0,3,0,3,0,3,51,1,100,12,YES
8,0,3,0,3,0,3,90,1,100,21,YES
4,0,3,0,3,0,3,19,1,100,3,YES
36,0,14,12,157,6,8,397,4,85,75,YES
25,0,14,1,157,2,12,515,4,78,97,YES
10,0,8,1,151,0,8,130,4,75,24,YES
24,0,6,3,149,1,5,210,4,75,46,YES
4,0,3,0,161,0,3,19,5,0,4,YES
21,0,8,2,151,2,6,166,4,79,34,YES
4,0,3,0,146,0,3,53,4,66,8,YES
12,0,8,5,8,2,6,133,1,83,25,YES
4,0,3,0,3,0,3,29,1,0,6,YES
23,0,6,3,26,2,3,315,3,50,24,YES
72,0,34,33,47,14,3,3798,1,95,181,YES
28,1,12,16,13,4,7,613,1,80,66,YES
3,0,0,0,1,0,1,152,1,0,1,YES
22,0,0,0,18,4,13,601,1,91,40,YES
13,0,31,8,35,10,23,867,1,90,180,YES
57,0,16,9,18,5,13,563,1,87,60,YES
15,0,4,7,4,0,4,186,1,53,12,YES
27,0,0,0,1,0,1,89,1,0,11,YES
4,0,0,0,3,1,2,297,1,0,3,YES
11,0,5,3,6,0,6,152,1,72,15,YES
21,0,0,0,3,2,1,641,1,0,9,YES
23,0,13,1,16,10,6,469,1,37,45,YES
23,0,22,8,22,7,15,696,1,86,33,YES
97,0,45,24,46,25,19,1796,1,93,216,YES
86,0,63,3,64,2,62,1025,1,92,162,YES
40,0,24,19,26,19,5,4459,1,91,84,YES
39,0,12,11,13,6,5,431,1,88,75,YES
7,0,9,5,9,0,9,218,1,71,27,YES
22,14,51,34,51,2,47,854,1,94,152,YES
6,0,7,2,58,1,6,142,2,71,27,YES
7,4,18,5,69,1,13,269,2,91,52,YES
8,0,12,6,63,2,7,482,2,83,37,YES
8,0,12,6,63,2,7,495,2,83,37,YES
10,0,11,5,62,0,11,259,2,65,50,YES
15,0,15,22,66,2,13,610,2,81,91,YES
3,0,25,4,25,1,24,294,1,43,89,YES
12,0,7,17,7,2,4,371,1,76,23,YES
69,0,19,14,29,16,1,2127,1,95,121,YES
17,0,10,6,10,1,4,134,1,73,25,YES
32,0,17,5,17,7,10,372,1,82,44,YES
4,0,6,1,6,0,6,37,1,33,7,YES
26,0,16,42,18,11,4,952,1,88,41,YES
17,0,11,11,29,2,10,272,2,86,45,YES
2,0,0,0,14,1,13,234,1,88,41,YES
16,0,0,0,1,0,1,80,1,0,6,YES
33,0,0,0,6,2,4,296,1,66,39,YES
13,0,5,2,5,3,1,161,1,90,12,YES
43,0,0,0,22,12,4,1288,1,89,137,YES
7,0,2,2,2,1,1,125,1,100,2,YES
29,0,13,4,34,1,12,358,3,78,37,YES
34,0,23,6,43,2,20,525,3,86,67,YES
43,1,13,7,34,0,11,354,3,81,71,YES
66,0,32,7,52,3,28,605,3,88,92,YES
24,0,21,5,42,5,16,347,3,87,48,YES
8,1,14,6,14,0,13,114,1,80,17,YES
38,0,29,10,49,11,16,882,3,90,131,YES
25,0,4,5,24,1,2,331,3,50,30,YES
12,0,8,7,8,6,2,87,1,78,15,YES
11,0,7,2,7,5,2,240,1,64,13,YES
9,0,7,5,7,5,2,88,1,71,15,YES
3,0,10,6,10,3,7,109,1,78,16,YES
6,0,0,0,1,0,1,60,1,0,3,YES
5,0,0,0,4,0,4,77,1,0,17,YES
2,0,0,0,24,0,24,302,1,0,55,YES
24,0,0,0,5,1,2,336,1,0,5,YES
3,0,0,0,11,0,11,192,1,0,50,YES
35,0,0,0,23,6,17,431,1,93,96,YES
0,0,2,0,3,1,2,99,1,0,18,YES
2,0,18,7,22,2,18,241,1,90,41,YES
