Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Class,net.sourceforge.plantuml.brotli.BrotliRuntimeException,0,0,2,0,2,0,0,8,2,0,2,NO
Class,net.sourceforge.plantuml.brotli.Context,0,0,0,0,1,1,0,40,1,0,8,NO
Class,net.sourceforge.plantuml.brotli.Decode,8,0,0,0,26,21,0,857,1,0,156,NO
Class,net.sourceforge.plantuml.brotli.DictionaryData,1,0,0,1,1,1,0,38,1,100,6,NO
Class,net.sourceforge.plantuml.brotli.Huffman,0,0,0,0,4,3,0,84,1,0,19,NO
Class,net.sourceforge.plantuml.brotli.State,0,0,1,61,1,0,0,71,1,96,1,NO
Class,net.sourceforge.plantuml.brotli.Transform,0,0,0,0,2,1,0,86,1,0,17,NO
Class,net.sourceforge.plantuml.brotli.Utils,1,0,0,0,5,0,0,33,1,0,8,NO
Class,net.sourceforge.plantuml.code.deflate.ByteHistory,1,0,3,2,3,0,3,30,1,0,8,NO
Class,net.sourceforge.plantuml.code.deflate.CanonicalCode,1,0,3,2,3,0,3,55,1,0,14,NO
Class,net.sourceforge.plantuml.cucadiagram.dot.GraphvizLinux,1,0,4,0,19,0,1,25,2,0,6,NO
Class,net.sourceforge.plantuml.cucadiagram.dot.GraphvizWindowsOld,3,0,5,0,22,2,1,78,2,85,19,YES
Class,net.sourceforge.plantuml.cucadiagram.Election,0,0,5,1,5,3,2,47,1,40,13,NO
Class,net.sourceforge.plantuml.cucadiagram.Magma,12,0,11,3,11,4,7,62,1,57,13,NO
Class,net.sourceforge.plantuml.cucadiagram.MagmaList,4,0,4,1,4,0,4,29,1,0,6,NO
Class,net.sourceforge.plantuml.ftp.FtpLoop,7,0,17,8,17,15,2,235,1,78,51,NO
Class,net.sourceforge.plantuml.geom.kinetic.SegmentCutter,0,0,2,1,2,0,2,23,1,0,5,NO
Class,net.sourceforge.plantuml.geom.Point2DIntComparatorDistance,1,0,2,1,2,0,2,9,1,0,2,NO
Class,net.sourceforge.plantuml.graph.EntityImageActivityBar,4,0,3,2,16,0,3,16,2,33,3,NO
Class,net.sourceforge.plantuml.graph.EntityImageActivityBranch,4,0,3,1,16,0,3,22,2,33,3,NO
Class,net.sourceforge.plantuml.graph.EntityImageActivityCircle,4,0,3,2,16,0,3,20,2,16,3,NO
Class,net.sourceforge.plantuml.graph.EntityImageCircleInterface,10,0,3,2,16,0,3,21,2,33,3,NO
Class,net.sourceforge.plantuml.graph2.Point2DComparatorDistance,0,0,2,1,2,0,2,9,1,0,2,NO
Class,net.sourceforge.plantuml.graphic.ColorAndSizeChange,6,0,4,2,4,0,1,36,1,25,8,YES
Class,net.sourceforge.plantuml.graphic.ColorChange,7,0,3,1,3,0,1,17,1,0,4,YES
Class,net.sourceforge.plantuml.graphic.CoordinateChange,0,0,4,9,4,0,4,35,1,55,5,NO
Class,net.sourceforge.plantuml.graphic.ExposantChange,2,0,2,1,2,0,1,9,1,0,2,NO
Class,net.sourceforge.plantuml.graphic.FontFamilyChange,6,0,2,1,2,0,1,14,1,0,3,NO
Class,net.sourceforge.plantuml.graphic.HtmlCommandFactory,23,0,1,3,1,0,0,73,1,66,17,NO
Class,net.sourceforge.plantuml.graphic.RemoveStyle,2,0,2,1,2,0,1,9,1,0,2,NO
Class,net.sourceforge.plantuml.graphic.ResetFont,1,0,1,0,1,0,1,5,1,0,1,NO
Class,net.sourceforge.plantuml.graphic.SimpleTextBlockBordered,6,0,3,2,5,0,3,16,2,16,3,NO
Class,net.sourceforge.plantuml.graphic.SingleLine,17,0,6,2,10,3,5,86,2,50,22,NO
Class,net.sourceforge.plantuml.graphic.SizeChange,5,0,3,1,3,0,1,17,1,0,4,NO
Class,net.sourceforge.plantuml.graphic.SvgAttributesChange,6,0,2,1,2,0,1,14,1,0,3,NO
Class,net.sourceforge.plantuml.graphic.TextBlockMarged,8,0,6,5,8,0,4,44,2,23,8,NO
Class,net.sourceforge.plantuml.graphic.TextBlockMinWidth,5,0,3,3,5,0,2,30,2,22,6,NO
Class,net.sourceforge.plantuml.graphic.USymbolActor,4,0,3,1,18,0,2,13,3,33,3,NO
Class,net.sourceforge.plantuml.graphic.USymbolArtifact,11,0,5,0,17,2,3,74,2,0,6,NO
Class,net.sourceforge.plantuml.graphic.USymbolBoundary,4,0,2,0,17,0,1,9,3,0,3,NO
Class,net.sourceforge.plantuml.graphic.USymbolCard,10,0,6,1,18,2,4,65,2,66,8,NO
Class,net.sourceforge.plantuml.graphic.USymbolCloud,10,0,12,0,28,13,3,182,2,0,30,NO
Class,net.sourceforge.plantuml.graphic.USymbolCollections,9,0,7,1,19,3,4,77,2,71,8,NO
Class,net.sourceforge.plantuml.graphic.USymbolComponent1,10,0,5,0,17,2,3,47,2,0,6,NO
Class,net.sourceforge.plantuml.graphic.USymbolComponent2,10,0,5,0,17,2,3,64,2,0,6,NO
Class,net.sourceforge.plantuml.graphic.USymbolControl,4,0,2,0,17,0,1,9,3,0,3,NO
Class,net.sourceforge.plantuml.graphic.USymbolDatabase,12,0,7,0,19,3,4,100,2,0,9,NO
Class,net.sourceforge.plantuml.graphic.USymbolEntityDomain,4,0,2,0,17,0,1,9,3,0,3,NO
Class,net.sourceforge.plantuml.graphic.USymbolFile,9,0,5,1,17,2,3,100,2,100,8,NO
Class,net.sourceforge.plantuml.graphic.USymbolFrame,10,0,6,0,18,3,3,89,2,0,9,NO
