CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
0,0,2,1,2,0,2,13,2,0,3,NO
1,0,1,0,1,0,1,5,2,0,1,NO
2,0,1,0,1,0,1,30,1,0,5,YES
11,0,3,0,3,0,3,56,1,66,12,NO
3,0,1,0,1,0,1,28,1,0,4,NO
0,0,7,2,7,0,7,33,2,64,8,NO
3,0,3,0,5,0,5,46,1,19,11,NO
7,0,2,0,2,0,2,43,2,50,8,NO
0,0,43,19,56,0,43,196,2,94,50,NO
6,0,92,40,105,1,91,417,2,97,120,YES
0,0,7,1,7,0,7,38,1,14,11,NO
0,0,3,1,66,0,3,34,3,33,3,NO
2,0,2,1,2,0,2,45,1,25,7,YES
4,0,9,0,61,1,8,117,2,0,23,NO
2,0,4,1,10,0,4,39,2,0,9,NO
0,0,8,4,21,0,8,29,2,75,8,NO
19,0,20,6,59,3,18,463,2,86,101,YES
9,2,26,4,26,0,23,209,1,86,53,YES
1,0,15,0,41,0,15,146,2,60,30,YES
4,0,5,2,6,1,5,64,1,61,16,YES
3,0,9,5,9,0,9,89,1,81,14,NO
4,0,44,21,46,0,44,210,1,95,56,YES
1,0,1,0,7,0,1,8,2,0,1,NO
1,0,4,0,4,0,4,32,2,25,8,NO
16,6,36,17,36,1,30,257,1,91,67,YES
7,0,4,0,4,1,3,48,1,50,11,NO
3,0,37,13,37,0,36,186,1,89,46,NO
2,0,16,6,16,1,15,100,1,86,24,NO
8,0,10,2,62,0,10,110,2,75,27,YES
4,0,7,1,13,0,7,66,2,0,7,NO
0,0,20,9,33,0,20,71,2,89,20,YES
14,0,2,0,9,0,2,51,2,50,9,NO
15,0,10,4,10,3,5,188,1,72,37,YES
23,1,7,6,7,0,5,124,1,67,23,NO
1,0,15,4,15,0,15,68,1,89,19,NO
0,0,24,12,24,0,24,85,1,91,24,NO
9,0,0,0,2,0,2,24,1,50,6,NO
6,0,0,0,1,0,1,95,1,0,9,YES
0,0,0,0,2,0,2,57,1,0,21,YES
2,0,0,0,3,0,3,38,1,0,9,NO
0,0,7,7,7,2,2,96,1,69,16,NO
0,0,13,5,13,2,11,126,1,80,31,NO
6,0,1,0,1,0,0,65,2,0,12,NO
4,0,1,0,17,0,0,16,3,100,1,NO
23,0,9,0,10,3,5,240,2,30,42,NO
1,0,0,0,2,0,2,39,1,0,6,NO
4,0,0,0,4,0,4,22,1,0,6,NO
0,0,2,0,4,0,2,9,3,0,2,NO
0,0,2,0,4,0,2,9,3,0,2,NO
0,0,31,15,31,0,31,123,1,96,31,NO
1,0,42,18,43,0,43,239,1,92,61,YES
1,0,17,6,17,0,17,90,1,86,26,YES
0,0,10,4,10,0,10,36,1,77,10,YES
2,0,11,5,11,0,11,53,1,80,15,NO
0,0,8,4,8,0,8,30,1,75,8,NO
0,0,49,21,49,0,49,201,1,94,61,NO
4,0,49,19,49,0,49,226,1,94,67,NO
0,0,24,9,24,0,24,103,1,87,31,NO
0,0,13,6,13,0,13,46,1,84,13,NO
0,0,22,10,22,0,22,85,1,89,22,NO
1,2,95,45,111,0,95,363,2,97,103,YES
0,0,30,15,30,0,30,107,1,93,30,NO
3,0,33,16,33,0,33,116,1,93,33,NO
2,0,41,20,41,0,41,150,1,95,41,YES
1,0,8,4,8,0,8,34,1,75,8,NO
0,0,16,8,16,0,16,62,1,87,16,NO
0,0,9,4,12,0,12,46,1,81,12,NO
1,4,16,3,16,0,16,165,1,75,40,NO
1,0,12,5,12,0,12,69,1,81,22,NO
3,0,76,29,92,0,76,334,2,96,99,YES
0,0,12,6,12,0,12,47,1,87,12,NO
0,0,30,15,30,0,30,107,1,93,30,NO
1,0,50,24,50,0,50,204,1,96,56,YES
3,0,16,7,16,0,16,65,1,85,18,NO
8,0,46,20,46,0,46,197,1,95,63,YES
0,0,34,17,34,0,34,121,1,94,34,NO
1,0,52,25,52,0,52,183,1,96,52,YES
1,0,6,3,6,0,6,23,1,66,6,NO
0,0,22,10,22,0,22,80,1,90,22,NO
0,0,12,6,12,0,12,44,1,83,12,NO
1,0,9,3,9,0,9,37,1,62,10,NO
0,0,21,9,22,0,22,82,1,89,24,NO
0,0,14,7,14,0,14,52,1,85,14,NO
1,0,27,13,27,0,27,98,1,93,27,NO
1,0,8,4,8,0,8,30,1,75,8,NO
0,0,22,11,22,0,22,86,1,90,22,NO
0,0,46,23,46,0,46,163,1,95,46,NO
0,0,32,15,32,0,32,112,1,93,32,NO
0,0,11,5,11,0,11,48,1,78,12,YES
0,0,22,11,22,0,22,79,1,90,22,YES
3,0,55,26,55,0,55,204,1,96,58,NO
1,0,18,9,18,0,18,65,1,88,18,NO
0,0,18,9,18,0,18,65,1,88,18,NO
3,0,12,6,12,0,12,44,1,83,12,NO
1,0,45,21,45,0,45,170,1,95,46,YES
1,0,28,14,28,0,28,100,1,92,28,YES
0,0,8,4,8,0,8,30,1,75,8,NO
2,0,21,10,21,0,21,86,1,90,23,NO
1,0,17,6,17,0,17,90,1,86,26,YES
2,0,63,28,63,0,63,252,1,96,74,NO
1,0,14,5,14,0,14,50,1,78,14,NO
4,0,96,43,96,0,96,402,1,97,120,YES
0,0,6,2,6,0,6,23,1,50,6,NO
0,0,12,6,123,0,12,45,3,83,12,NO
1,0,8,4,9,0,9,33,1,77,9,NO
0,0,6,3,6,0,6,24,1,66,6,NO
3,0,49,23,49,0,49,188,1,95,53,NO
3,0,31,14,31,0,31,128,1,93,38,NO
0,0,1,0,2,0,2,9,1,0,2,NO
0,0,0,0,0,0,0,79,1,0,0,YES
1,0,0,0,11,0,11,125,1,0,30,YES
0,0,1,0,1,0,1,28,2,0,3,NO
1,0,1,0,1,0,1,24,2,0,4,NO
0,0,1,0,1,0,1,14,2,0,1,NO
0,0,1,0,1,0,1,19,2,0,1,NO
1,0,1,0,1,0,1,14,2,0,1,NO
0,0,1,0,1,0,1,13,2,0,2,NO
0,0,1,0,1,0,1,15,2,0,2,NO
1,0,1,0,1,0,1,18,2,0,3,NO
0,0,1,0,1,0,1,21,2,0,1,NO
0,0,1,0,1,0,1,15,2,0,2,NO
1,0,1,0,1,0,1,12,2,0,1,NO
1,0,1,0,1,0,1,12,2,0,1,NO
0,0,1,0,1,0,1,14,2,0,1,NO
1,0,2,0,2,0,2,27,2,0,3,NO
2,0,1,0,1,0,1,16,2,0,1,NO
1,0,1,0,1,0,1,10,2,0,1,NO
1,0,1,0,1,0,1,17,2,0,1,NO
0,0,1,0,1,0,1,34,2,0,3,YES
0,0,1,0,1,0,1,23,2,0,3,NO
0,0,1,0,1,0,1,16,2,0,1,NO
0,0,1,0,1,0,1,17,2,0,1,NO
1,0,4,0,4,1,3,39,2,0,9,NO
6,0,7,1,7,2,5,147,2,71,22,YES
1,0,1,0,1,0,1,23,2,0,2,NO
0,0,1,0,1,0,1,26,2,0,2,YES
0,0,1,0,1,0,1,12,2,0,2,NO
1,0,1,0,1,0,1,13,2,0,1,NO
0,0,1,0,1,0,1,18,2,0,1,NO
0,0,1,0,1,0,1,15,2,0,1,NO
1,0,1,0,1,0,1,15,2,0,1,NO
1,0,1,0,2,0,2,34,2,50,5,NO
0,0,1,0,1,0,1,12,2,0,1,NO
1,0,2,0,2,0,2,30,2,0,4,NO
0,0,1,0,1,0,1,12,2,0,1,NO
0,0,1,0,1,0,1,18,2,0,1,NO
1,0,1,0,1,0,1,13,2,0,1,NO
0,0,1,0,1,0,1,11,2,0,1,NO
1,0,1,0,1,0,1,14,2,0,1,NO
1,0,1,0,1,0,1,16,2,0,1,NO
3,0,1,0,1,0,1,49,2,0,3,NO
2,0,1,0,1,0,1,13,2,0,1,NO
0,0,1,0,1,0,1,12,2,0,1,NO
0,0,1,0,1,0,1,26,2,0,1,NO
0,0,1,0,1,0,1,30,2,0,2,YES
1,0,1,0,1,0,1,18,2,0,1,NO
0,0,1,0,1,0,1,17,2,0,1,NO
0,0,3,0,3,1,2,30,2,0,6,NO
0,0,1,0,1,0,1,10,2,0,1,NO
0,0,1,0,2,1,1,22,2,50,3,NO
0,0,1,0,1,0,1,12,2,0,1,NO
0,0,1,0,1,0,1,13,2,0,2,NO
0,0,1,0,1,0,1,20,2,0,1,NO
0,0,1,0,1,0,1,16,2,0,1,NO
1,0,1,0,1,0,1,33,2,0,2,NO
1,0,1,0,2,0,2,17,2,50,3,NO
1,0,2,0,2,0,2,22,2,0,3,NO
1,0,1,0,1,0,1,19,2,0,1,NO
0,0,1,0,1,0,1,13,2,0,1,NO
0,0,1,0,1,0,1,15,2,0,2,NO
0,0,1,0,1,0,1,18,2,0,1,NO
0,0,1,0,1,0,1,13,2,0,1,NO
0,0,1,0,1,0,1,12,2,0,1,NO
0,0,1,0,1,0,1,25,2,0,3,NO
0,0,1,0,1,0,1,14,2,0,1,NO
0,0,1,0,1,0,1,13,2,0,4,NO
1,0,1,0,1,0,1,26,2,0,1,NO
0,0,1,0,1,0,1,15,2,0,3,NO
0,0,1,0,1,0,1,23,2,0,1,NO
0,0,1,0,1,0,1,12,2,0,2,NO
1,0,1,0,1,0,1,15,2,0,1,NO
0,0,1,0,2,0,2,26,2,0,3,NO
